time_s,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
0.0,-2.126218,-0.659113,-1.769908,-0.000623,-0.712776,-2.125951
0.02,-2.132334,-0.651438,-1.785608,-0.000629,-0.704751,-2.132059
0.04,-2.15178,-0.6284,-1.832702,-0.000647,-0.680694,-2.151481
0.06,-2.188584,-0.589956,-1.911182,-0.000681,-0.640658,-2.188242
0.08,-2.248034,-0.539014,-2.014935,-0.000734,-0.587847,-2.247626
0.1,-2.308704,-0.497569,-2.099109,-0.000785,-0.545118,-2.308237
0.12,-2.354631,-0.471531,-2.151862,-0.000821,-0.518403,-2.354122
0.14,-2.376454,-0.46047,-2.174238,-0.000837,-0.507088,-2.375926
0.16,-2.377912,-0.459749,-2.175696,-0.000839,-0.506352,-2.377383
0.18,-2.516071,-0.557249,-1.97783,-0.000715,-0.606717,-2.515687
0.2,-2.502982,-0.563364,-1.965379,-0.000708,-0.613053,-2.502606
0.22,-2.464002,-0.583112,-1.925138,-0.000688,-0.633546,-2.463651
0.24,-2.405099,-0.618158,-1.853625,-0.000656,-0.670013,-2.404789
0.26,-2.339566,-0.666478,-1.754837,-0.000617,-0.720482,-2.339306
0.28,-2.29441,-0.707304,-1.671217,-0.000589,-0.763275,-2.294188
0.3,-2.269797,-0.732865,-1.618797,-0.000573,-0.790134,-2.269598
0.32,-2.261528,-0.744471,-1.59498,-0.000566,-0.802345,-2.261339
0.34,-2.27505,-0.756581,-1.57012,-0.000559,-0.815096,-2.274871
0.36,-2.304994,-0.783159,-1.515519,-0.000544,-0.843118,-2.304836
0.38,-2.340612,-0.819095,-1.44162,-0.000528,-0.881082,-2.34048
0.4,-2.360792,-0.841935,-1.394605,-0.000517,-0.905256,-2.360676
0.42,-2.369106,-0.849603,-1.378815,-0.000514,-0.913379,-2.368995
0.44,-2.377777,-0.842339,-1.393775,-0.000517,-0.905683,-2.377662
0.46,-2.399169,-0.819879,-1.440006,-0.000527,-0.881911,-2.399038
0.48,-2.439889,-0.782148,-1.517597,-0.000545,-0.842051,-2.43973
0.5,-2.502306,-0.734477,-1.615491,-0.000571,-0.791829,-2.502109
0.52,-2.560312,-0.698666,-1.688919,-0.000594,-0.754211,-2.560083
0.54,-2.599474,-0.678171,-1.7309,-0.000609,-0.732725,-2.599225
0.56,-2.614683,-0.671805,-1.743933,-0.000613,-0.726058,-2.614428
0.58,-2.622467,-0.679706,-1.727757,-0.000607,-0.734334,-2.62222
0.6,-2.637517,-0.702744,-1.680564,-0.000592,-0.758489,-2.637292
0.62,-2.65996,-0.740935,-1.602238,-0.000568,-0.798623,-2.659768
0.64,-2.67836,-0.776364,-1.529482,-0.000549,-0.83595,-2.678196
0.66,-2.687904,-0.796487,-1.488121,-0.000538,-0.857188,-2.687755
0.68,-2.690238,-0.801588,-1.477634,-0.000536,-0.862575,-2.690093
0.7,-2.690238,-0.801588,-1.477634,-0.000536,-0.862575,-2.690093
0.72,-2.67715,-0.808376,-1.463672,-0.000533,-0.869748,-2.67701
0.74,-2.639318,-0.829877,-1.419431,-0.000523,-0.892489,-2.639194
0.76,-2.584856,-0.866617,-1.343763,-0.000507,-0.931417,-2.584757
0.78,-2.525931,-0.916102,-1.241709,-0.000489,-0.983985,-2.525865
0.8,-2.486833,-0.956314,-1.158663,-0.000475,-1.026819,-2.486791
0.82,-2.465626,-0.981303,-1.107004,-0.000469,-1.053489,-2.465598
0.84,-2.460501,-0.994446,-1.079818,-0.000465,-1.067533,-2.460481
0.86,-2.470276,-1.014713,-1.037871,-0.000459,-1.089212,-2.470267
0.88,-2.48585,-1.050121,-0.964523,-0.000451,-1.127152,-2.48586
0.9,-2.504781,-1.099715,-0.861646,-0.00044,-1.180436,-2.504817
0.92,-2.518792,-1.14275,-0.77223,-0.000432,-1.226816,-2.51885
0.94,-2.526791,-1.170638,-0.714212,-0.000428,-1.256946,-2.526862
0.96,-2.530192,-1.183424,-0.687594,-0.000426,-1.270779,-2.53027
0.98,-2.53513,-1.182639,-0.689228,-0.000426,-1.269929,-2.535207
1.0,-2.543647,-1.167545,-0.720651,-0.000428,-1.253601,-2.543717
1.02,-2.562481,-1.137346,-0.783468,-0.000433,-1.220983,-2.562537
1.04,-2.595922,-1.091995,-0.877672,-0.000442,-1.17213,-2.595955
1.06,-2.645688,-1.038252,-0.989121,-0.000453,-1.114424,-2.645692
