time_s,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
0.0,-1.154961,0.937268,1.197603,0.000482,1.006518,-1.155422
0.02,-1.152546,0.929665,1.213303,0.000484,0.998421,-1.153012
0.04,-1.144985,0.906847,1.260401,0.000492,0.974141,-1.145465
0.06,-1.131135,0.86878,1.338897,0.000506,0.933712,-1.13164
0.08,-1.108739,0.815413,1.448789,0.000529,0.877188,-1.109281
0.1,-1.073597,0.746664,1.590072,0.000565,0.804653,-1.074192
0.12,-1.019655,0.665195,1.757055,0.000618,0.71914,-1.020324
0.14,-0.956492,0.593744,1.903049,0.000677,0.644596,-0.957236
0.16,-0.891123,0.537479,2.01765,0.000736,0.58626,-0.891939
0.18,-0.830752,0.496517,2.100835,0.000786,0.544037,-0.831628
0.2,-0.785468,0.470966,2.152599,0.000823,0.517825,-0.786387
0.22,-0.764469,0.460344,2.174086,0.000838,0.506959,-0.765406
0.24,-0.763273,0.459753,2.175281,0.000839,0.506355,-0.764211
0.2891,-0.772039,0.851977,1.373516,0.000512,0.915892,-0.772555
0.3091,-0.765235,0.844354,1.389216,0.000515,0.907815,-0.765756
0.3291,-0.743601,0.821477,1.436309,0.000526,0.8836,-0.744138
0.3491,-0.702671,0.78333,1.514761,0.000545,0.843297,-0.703237
0.3691,-0.640093,0.73531,1.613374,0.000572,0.792705,-0.640698
0.3891,-0.581834,0.699208,1.687402,0.000594,0.754779,-0.582471
0.4091,-0.542222,0.678426,1.729972,0.000608,0.732992,-0.542877
0.4291,-0.526702,0.6718,1.743536,0.000613,0.726053,-0.527364
0.4491,-0.518915,0.679421,1.727934,0.000608,0.734035,-0.51957
0.4691,-0.504032,0.702167,1.681337,0.000592,0.757884,-0.504666
0.4891,-0.481688,0.7401,1.603545,0.000568,0.797745,-0.482288
0.5091,-0.463203,0.775599,1.530648,0.000549,0.835142,-0.463775
0.5291,-0.453604,0.79579,1.489148,0.000539,0.856452,-0.454161
0.5491,-0.456276,0.804325,1.471596,0.000535,0.865468,-0.456826
0.5691,-0.484078,0.819401,1.440583,0.000527,0.881405,-0.484617
0.5891,-0.532586,0.84968,1.378249,0.000514,0.91346,-0.533103
0.6091,-0.591996,0.895171,1.284488,0.000496,0.96173,-0.592483
0.6291,-0.653891,0.955804,1.15931,0.000475,1.026275,-0.654341
0.6491,-0.70685,1.023359,1.019562,0.000457,1.098468,-0.707261
0.6691,-0.740016,1.076787,0.908821,0.000445,1.155781,-0.740399
0.6891,-0.759982,1.11501,0.829475,0.000437,1.196904,-0.760345
0.7091,-0.770715,1.138083,0.781527,0.000433,1.221779,-0.771066
0.7291,-0.774229,1.146044,0.764975,0.000431,1.23037,-0.774576
0.7491,-0.774231,1.146049,0.764964,0.000431,1.230376,-0.774579
0.7691,-0.774231,1.146049,0.764964,0.000431,1.230376,-0.774579
0.7891,-0.761142,1.146882,0.763233,0.000431,1.231275,-0.761489
0.8091,-0.721883,1.151839,0.752922,0.000431,1.236628,-0.722227
0.8291,-0.659076,1.168051,0.719192,0.000428,1.254146,-0.659412
0.8491,-0.590773,1.199259,0.654201,0.000424,1.287929,-0.591094
0.8691,-0.527901,1.245135,0.558521,0.000418,1.337733,-0.528201
0.8891,-0.48523,1.291183,0.462299,0.000414,1.387906,-0.485509
0.9091,-0.463156,1.323093,0.395507,0.000412,1.42279,-0.46342
0.9291,-0.455547,1.342125,0.35562,0.00041,1.443644,-0.455803
0.9491,-0.463669,1.365253,0.307101,0.000409,1.469035,-0.463914
0.9691,-0.472055,1.393846,0.247037,0.000408,1.500506,-0.472287
0.9891,-0.475618,1.408135,0.216993,0.000407,1.516262,-0.475844
1.0091,-0.476005,1.409693,0.213716,0.000407,1.51798,-0.476231
