time_s,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
0.0,2.964118,-0.160263,-0.607638,1.698917,-1.693796,-0.760008
0.02,2.964116,-0.15411,-0.623338,1.697731,-1.695005,-0.769552
0.04,2.964113,-0.135802,-0.670437,1.694109,-1.698609,-0.798346
0.06,2.964106,-0.106108,-0.748935,1.68773,-1.704476,-0.847215
0.08,2.964095,-0.066405,-0.85883,1.678058,-1.712357,-0.917631
0.1,2.964078,-0.018994,-1.000122,1.664274,-1.721808,-1.012046
0.12,2.964056,0.029516,-1.16278,1.646368,-1.731503,-1.127182
0.14,2.964035,0.06415,-1.299984,1.629386,-1.738429,-1.230916
0.16,2.964017,0.085937,-1.405779,1.614979,-1.742785,-1.316036
0.18,2.964003,0.098138,-1.480166,1.604094,-1.745222,-1.379119
0.2,2.963995,0.103824,-1.523146,1.597496,-1.746358,-1.416975
0.22,2.963992,0.105217,-1.534995,1.595639,-1.746637,-1.42759
0.24,2.963992,0.105217,-1.534995,1.595639,-1.746637,-1.42759
0.26,2.963989,0.106887,-1.550694,1.593141,-1.74697,-1.441837
0.28,2.96398,0.11097,-1.597789,1.585459,-1.747786,-1.485519
0.3,2.963963,0.114121,-1.676271,1.57194,-1.748416,-1.562049
0.32,2.963939,0.109287,-1.784207,1.551707,-1.747455,-1.676608
0.34,2.963909,0.087101,-1.903844,1.526649,-1.743028,-1.820549
0.36,2.963883,0.052558,-1.995885,1.50505,-1.736121,-1.948768
0.38,2.963864,0.017577,-2.056632,1.489427,-1.72912,-2.045502
0.4,2.963853,-0.006905,-2.089523,1.480426,-1.724221,-2.103367
0.42,2.963849,-0.015309,-2.099588,1.477589,-1.722541,-2.121976
0.44,2.963849,-0.015309,-2.099588,1.477589,-1.722541,-2.121976
0.46,2.963846,-0.024516,-2.109881,1.474636,-1.7207,-2.141611
0.48,2.963835,-0.053829,-2.139131,1.465991,-1.714846,-2.200514
0.5,2.963823,-0.087044,-2.166867,1.457386,-1.70823,-2.261709
0.52,2.963819,-0.099615,-2.176195,1.454394,-1.705732,-2.283667
0.54,2.963819,-0.099654,-2.176224,1.454385,-1.705724,-2.283736
0.56,2.963819,-0.099654,-2.176224,1.454385,-1.705724,-2.283736
0.58,2.9657,-0.112744,-2.171271,1.454547,-1.703365,-2.291725
0.6,2.971164,-0.152015,-2.155513,1.455193,-1.696587,-2.314801
0.62,2.979682,-0.217466,-2.125962,1.456783,-1.686315,-2.350012
0.64,2.989487,-0.299775,-2.082791,1.45955,-1.675078,-2.388362
0.66,2.996122,-0.360163,-2.046713,1.462023,-1.667933,-2.412153
0.68,2.999691,-0.39437,-2.024577,1.463561,-1.66427,-2.423951
0.7,3.000929,-0.402788,-2.015061,1.4646,-1.66357,-2.422767
0.72,3.000954,-0.385292,-2.007994,1.466927,-1.666123,-2.39823
0.74,3.000965,-0.342505,-1.987976,1.473121,-1.672422,-2.335438
0.76,3.000982,-0.280136,-1.948425,1.483991,-1.681781,-2.233374
0.78,3.001006,-0.210593,-1.882443,1.499839,-1.692427,-2.097349
0.8,3.001027,-0.161723,-1.810895,1.515042,-1.700014,-1.976219
0.82,3.001041,-0.135353,-1.754643,1.525965,-1.704137,-1.892984
0.84,3.001049,-0.123822,-1.722572,1.53186,-1.705946,-1.849025
0.86,3.00105,-0.121999,-1.716927,1.532877,-1.706232,-1.841494
0.88,3.00105,-0.121999,-1.716927,1.532877,-1.706232,-1.841494
0.9,3.001053,-0.11753,-1.70193,1.535541,-1.706934,-1.82186
0.92,3.001064,-0.10628,-1.655933,1.543446,-1.708703,-1.764098
0.94,3.001079,-0.094557,-1.578516,1.555927,-1.710549,-1.674112
0.96,3.001099,-0.089928,-1.46968,1.571972,-1.71128,-1.559526
0.98,3.001122,-0.098836,-1.330786,1.590311,-1.70988,-1.428264
1.0,3.00114,-0.117854,-1.2031,1.605386,-1.706894,-1.318599
1.02,3.001153,-0.137522,-1.106789,1.615771,-1.703815,-1.241318
1.04,3.001161,-0.152938,-1.041873,1.622336,-1.701407,-1.191444
1.06,3.001164,-0.161505,-1.008356,1.625596,-1.700073,-1.166317
1.08,3.001165,-0.16282,-1.0033,1.626083,-1.699868,-1.16255
1.1,3.001165,-0.16282,-1.0033,1.626083,-1.699868,-1.16255
1.12,3.001167,-0.16701,-0.9876,1.627571,-1.699216,-1.150963
1.14,3.001172,-0.180023,-0.940499,1.631936,-1.697195,-1.116656
1.16,3.001179,-0.203226,-0.861997,1.638857,-1.693604,-1.061042
1.18,3.001189,-0.238575,-0.752093,1.647845,-1.688171,-0.986145
1.2,3.001198,-0.279316,-0.635461,1.656542,-1.681972,-0.910009
1.22,3.001203,-0.311125,-0.549815,1.662407,-1.677185,-0.856065
1.24,3.001206,-0.332036,-0.495566,1.665904,-1.674066,-0.82269
1.26,3.001226,-0.341101,-0.472647,1.667318,-1.672727,-0.808826
1.28,3.003549,-0.351205,-0.473876,1.664566,-1.672117,-0.820328
1.3,3.010639,-0.383261,-0.481924,1.655776,-1.670424,-0.860951
1.32,3.019506,-0.437241,-0.474974,1.645506,-1.667326,-0.908609
1.34,3.024265,-0.47447,-0.460241,1.640456,-1.665167,-0.931425
1.36,3.025538,-0.485603,-0.454627,1.639175,-1.664526,-0.937027
1.38,3.025538,-0.485603,-0.454627,1.639175,-1.664526,-0.937027
1.4,3.025758,-0.481397,-0.470327,1.637959,-1.665123,-0.948558
1.42,3.026455,-0.469444,-0.517425,1.634205,-1.666852,-0.983825
1.44,3.027771,-0.452537,-0.595915,1.627488,-1.669445,-1.045657
1.46,3.02996,-0.436306,-0.705745,1.617061,-1.672342,-1.139704
1.48,3.033175,-0.431953,-0.836868,1.602818,-1.674333,-1.267164
1.5,3.036458,-0.446911,-0.944487,1.589255,-1.674265,-1.390444
1.52,3.039338,-0.474913,-1.020709,1.578111,-1.672772,-1.49525
1.54,3.041423,-0.503832,-1.065729,1.570513,-1.670965,-1.569575
1.56,3.04243,-0.520473,-1.084379,1.566994,-1.669894,-1.60504
1.58,3.04265,-0.524072,-1.081988,1.566881,-1.669669,-1.606253
1.6,3.042654,-0.523458,-1.054211,1.569704,-1.66973,-1.577723
1.62,3.042661,-0.524787,-0.995026,1.575457,-1.669606,-1.519583
1.64,3.042671,-0.532703,-0.904431,1.583642,-1.668853,-1.436504
1.66,3.042682,-0.552376,-0.782425,1.593639,-1.666992,-1.333704
1.68,3.042692,-0.582395,-0.652248,1.603184,-1.664191,-1.233132
1.7,3.042698,-0.610469,-0.552813,1.609787,-1.661621,-1.161513
1.72,3.042702,-0.631913,-0.484769,1.613991,-1.659692,-1.114765
1.74,3.042703,-0.64414,-0.448123,1.616157,-1.658605,-1.090274
1.76,3.042704,-0.646496,-0.441136,1.616566,-1.658396,-1.085629
1.78,3.042704,-0.646496,-0.441136,1.616566,-1.658396,-1.085629
1.8,3.043815,-0.65959,-0.441202,1.614899,-1.658004,-1.09887
1.82,3.046719,-0.698886,-0.433589,1.61086,-1.656737,-1.130756
1.84,3.050497,-0.763301,-0.402284,1.606481,-1.654553,-1.164092
1.86,3.053494,-0.828971,-0.352255,1.604015,-1.652334,-1.179873
1.88,3.054989,-0.868828,-0.314167,1.603301,-1.65101,-1.181694
1.9,3.055453,-0.882482,-0.29989,1.603174,-1.65056,-1.181082
1.92,3.055453,-0.882488,-0.299883,1.603174,-1.65056,-1.181082
1.94,3.055453,-0.882488,-0.299883,1.603174,-1.65056,-1.181082
1.96,3.055608,-0.880094,-0.315583,1.602048,-1.65084,-1.194428
1.98,3.056132,-0.875069,-0.362673,1.598467,-1.651597,-1.236626
2.0,3.057248,-0.876803,-0.438996,1.591769,-1.652447,-1.314944
2.02,3.058884,-0.899802,-0.513672,1.58341,-1.652507,-1.41296
2.04,3.0606,-0.943649,-0.557518,1.576051,-1.651605,-1.500955
2.06,3.0623,-1.004968,-0.570002,1.570056,-1.650087,-1.574999
2.08,3.063574,-1.062864,-0.558048,1.566462,-1.648707,-1.621081
2.1,3.064196,-1.095179,-0.544692,1.565022,-1.647994,-1.640094
2.12,3.064326,-1.102242,-0.541269,1.56475,-1.647845,-1.643744
