time_s,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
0.0,3.036938,-0.43957,-1.187488,1.56447,-1.675274,-1.627387
0.02,3.03655,-0.434098,-1.190909,1.564664,-1.675674,-1.625328
0.04,3.03655,-0.434098,-1.190909,1.564664,-1.675674,-1.625328
0.06,3.036133,-0.428191,-1.192495,1.565099,-1.676115,-1.620986
0.08,3.036133,-0.428191,-1.192495,1.565099,-1.676115,-1.620986
0.1,3.035766,-0.422926,-1.191298,1.565768,-1.676515,-1.61449
0.12,3.035766,-0.422926,-1.191298,1.565768,-1.676515,-1.61449
0.14,3.035468,-0.418594,-1.187068,1.566668,-1.67685,-1.605881
0.16,3.035468,-0.418594,-1.187068,1.566668,-1.67685,-1.605881
0.18,3.035259,-0.415485,-1.179664,1.567784,-1.677094,-1.595309
0.2,3.035259,-0.415478,-1.17964,1.567787,-1.677095,-1.595278
0.22,3.035259,-0.415478,-1.17964,1.567787,-1.677095,-1.595278
0.24,3.035155,-0.413877,-1.16939,1.569053,-1.677223,-1.583359
0.26,3.035153,-0.413843,-1.168945,1.569104,-1.677226,-1.582878
0.28,3.035153,-0.413843,-1.168945,1.569104,-1.677226,-1.582878
0.3,3.035158,-0.413821,-1.156748,1.570412,-1.677231,-1.570589
0.32,3.035166,-0.413918,-1.155017,1.570587,-1.677224,-1.568946
0.34,3.035166,-0.413918,-1.155017,1.570587,-1.677224,-1.568946
0.36,3.035269,-0.415356,-1.141502,1.571878,-1.677113,-1.556801
0.38,3.035306,-0.415885,-1.138001,1.572195,-1.677071,-1.553812
0.4,3.035306,-0.415885,-1.138001,1.572195,-1.677071,-1.553812
0.42,3.035493,-0.418623,-1.123621,1.573434,-1.676858,-1.542104
0.44,3.035577,-0.419863,-1.118156,1.573882,-1.676761,-1.537856
0.46,3.035577,-0.419863,-1.118156,1.573882,-1.676761,-1.537856
0.48,3.035837,-0.423747,-1.103233,1.575047,-1.676458,-1.526756
0.5,3.03598,-0.425899,-1.095859,1.575595,-1.676291,-1.521505
0.52,3.03598,-0.425899,-1.095859,1.575595,-1.676291,-1.521505
0.54,3.036301,-0.4308,-1.08062,1.576672,-1.675912,-1.511111
0.56,3.036507,-0.433957,-1.071602,1.577278,-1.675669,-1.50522
0.58,3.036507,-0.433957,-1.071602,1.577278,-1.675669,-1.50522
0.6,3.036883,-0.439781,-1.056197,1.57826,-1.675226,-1.495589
0.62,3.037148,-0.443917,-1.045989,1.578876,-1.674913,-1.489486
0.64,3.037148,-0.443917,-1.045989,1.578876,-1.674913,-1.489486
0.66,3.037574,-0.450608,-1.030519,1.579756,-1.674412,-1.480664
0.68,3.037887,-0.455566,-1.019731,1.580333,-1.674045,-1.474805
0.7,3.037887,-0.455566,-1.019731,1.580333,-1.674045,-1.474805
0.72,3.03836,-0.46311,-1.004276,1.581104,-1.673494,-1.466857
0.74,3.038703,-0.468611,-0.993631,1.581598,-1.673097,-1.461689
0.76,3.038703,-0.468611,-0.993631,1.581598,-1.673097,-1.461689
0.78,3.039226,-0.477027,-0.978288,1.582249,-1.672499,-1.454734
0.8,3.039575,-0.482676,-0.968572,1.582623,-1.672104,-1.45065
