time_s,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
0.0,2.807249,-1.270764,-0.527658,-0.000418,-1.343375,2.807139
4.8374,1.135956,0.948562,1.200015,0.000486,0.992811,1.135487
5.0086,1.115204,0.891027,1.319878,0.000508,0.930484,1.114697
5.1643,1.092797,0.838731,1.428821,0.000531,0.873837,1.092252
5.2673,1.075741,0.804107,1.500961,0.000549,0.83632,1.07517
5.3715,1.056392,0.769129,1.573862,0.000569,0.798399,1.055792
5.4711,1.035572,0.735679,1.643605,0.00059,0.762105,1.034941
5.5659,1.013317,0.703877,1.709949,0.000613,0.727564,1.012656
5.6542,0.990055,0.674255,1.771787,0.000636,0.695348,0.989363
5.7453,0.96306,0.643731,1.83556,0.000663,0.662098,0.962334
5.8336,0.933444,0.614188,1.897349,0.000692,0.629852,0.932681
5.9175,0.901471,0.586126,1.956112,0.000722,0.599151,0.90067
5.9991,0.866089,0.558904,2.013197,0.000756,0.569288,0.865249
6.0791,0.826822,0.532579,2.068491,0.000792,0.540318,0.825939
6.1591,0.783409,0.50739,2.121503,0.000831,0.512496,0.782482
6.2391,0.737272,0.484322,2.170152,0.000871,0.486915,0.736299
6.5637,0.51008,0.493719,2.15032,0.000854,0.49735,0.509126
10.5637,2.141195,-0.687521,-1.744493,-0.000621,-0.709779,2.141461
10.6665,2.115671,-0.722014,-1.672514,-0.000599,-0.747268,2.115907
10.7731,2.09239,-0.75779,-1.597906,-0.000576,-0.7861,2.092594
10.8803,2.07173,-0.793786,-1.522877,-0.000554,-0.825133,2.071903
11.0003,2.051358,-0.834129,-1.438816,-0.000533,-0.868851,2.051499
11.1271,2.032556,-0.876729,-1.350071,-0.000514,-0.914996,2.032666
11.2541,2.016101,-0.919389,-1.261202,-0.000497,-0.961206,2.016182
11.3997,1.999723,-0.968327,-1.159239,-0.00048,-1.01423,1.999773
11.5558,1.984712,-1.020756,-1.049965,-0.000464,-1.071075,1.984731
11.73,1.970621,-1.079217,-0.928044,-0.000449,-1.134535,1.970607
11.9247,1.957716,-1.144493,-0.791783,-0.000436,-1.205521,1.957668
12.1682,1.945199,-1.226023,-0.621337,-0.000423,-1.294436,1.945111
12.512,1.933353,-1.340854,-0.380647,-0.000412,-1.420295,1.933211
14.1858,2.079538,-0.779656,-1.552324,-0.000566,-0.809812,2.079727
14.3004,2.059105,-0.81815,-1.472109,-0.000541,-0.851537,2.059258
14.4272,2.0859,-0.860738,-1.383383,-0.000521,-0.897676,2.086021
14.5072,2.120926,-0.885118,-1.332594,-0.00051,-0.924084,2.12103
14.5872,2.154744,-0.91202,-1.276553,-0.0005,-0.953223,2.154829
14.6757,2.191824,-0.882312,-1.338441,-0.000511,-0.921044,2.19193
14.7904,2.2159,-0.843743,-1.418787,-0.000529,-0.879266,2.216033
14.8986,2.241754,-0.807385,-1.494539,-0.000547,-0.839873,2.241916
14.9961,2.268148,-0.77464,-1.56278,-0.000565,-0.804376,2.268336
15.0914,2.2973,-0.742669,-1.629434,-0.000585,-0.769693,2.297516
15.1824,2.328886,-0.712125,-1.693145,-0.000606,-0.736527,2.329132
15.2661,2.361809,-0.684047,-1.751748,-0.000627,-0.706002,2.362082
15.3482,2.398502,-0.656511,-1.809259,-0.000651,-0.676026,2.398806
15.4282,2.41777,-0.643417,-1.836625,-0.000663,-0.661755,2.418089
15.5082,2.417773,-0.627606,-1.834294,-0.000647,-0.679896,2.418073
15.5882,2.417773,-0.627606,-1.834294,-0.000647,-0.679896,2.418073
15.6682,2.452603,-0.621816,-1.881798,-0.000684,-0.638183,2.452948
15.7482,2.452603,-0.621816,-1.881798,-0.000684,-0.638183,2.452948
15.8282,2.45261,-0.585084,-1.875785,-0.000647,-0.680928,2.452909
15.9082,2.45261,-0.585084,-1.875785,-0.000647,-0.680928,2.452909
15.9932,2.479913,-0.606537,-1.913775,-0.0007,-0.621485,2.480279
16.0732,2.488343,-0.602086,-1.92309,-0.000704,-0.616621,2.488714
16.1532,2.524427,-0.62173,-1.881977,-0.000683,-0.63809,2.524772
16.2332,2.550834,-0.64849,-1.826022,-0.000658,-0.667285,2.551148
16.3132,2.573971,-0.674713,-1.771237,-0.000635,-0.695847,2.574255
16.3954,2.595814,-0.702289,-1.713671,-0.000614,-0.725837,2.596069
16.4754,2.56242,-0.721746,-1.673074,-0.000599,-0.746977,2.562656
16.5554,2.5304,-0.742585,-1.629609,-0.000585,-0.769602,2.530617
16.6354,2.498685,-0.765655,-1.58151,-0.00057,-0.794631,2.498881
16.7154,2.468421,-0.790285,-1.530173,-0.000556,-0.821338,2.468596
16.7954,2.438195,-0.816202,-1.476168,-0.000542,-0.849427,2.438349
16.877,2.409676,-0.843619,-1.419046,-0.000529,-0.879131,2.40981
16.9677,2.381478,-0.874097,-1.355554,-0.000514,-0.912145,2.381589
17.0933,2.347481,-0.916314,-1.267608,-0.000498,-0.957874,2.347564
17.2051,2.321352,-0.953868,-1.189367,-0.000484,-0.998561,2.32141
17.3265,2.296635,-0.994646,-1.10439,-0.000472,-1.04276,2.296669
17.457,2.273673,-1.038478,-1.013016,-0.000459,-1.090303,2.273681
17.5821,2.299367,-1.080437,-0.925499,-0.000449,-1.13586,2.299352
17.7255,2.324251,-1.128532,-0.825115,-0.000439,-1.18815,2.324212
17.8954,2.348405,-1.185472,-0.706153,-0.000429,-1.250172,2.348336
17.9795,2.383144,-1.15732,-0.764986,-0.000434,-1.21949,2.383089
18.135,2.408765,-1.10519,-0.873844,-0.000444,-1.162762,2.408738
18.2669,2.434873,-1.06094,-0.966171,-0.000454,-1.114685,2.434869
18.3831,2.461673,-1.021914,-1.047551,-0.000463,-1.072331,2.461691
18.4914,2.490415,-0.985545,-1.123359,-0.000474,-1.032893,2.490454
18.5896,2.520374,-0.952579,-1.192053,-0.000484,-0.997164,2.520433
18.678,2.551209,-0.922881,-1.253928,-0.000496,-0.964988,2.551287
18.7602,2.583869,-0.895258,-1.311472,-0.000506,-0.935067,2.583965
18.8402,2.617508,-0.870251,-1.363566,-0.000517,-0.90798,2.617622
18.9202,2.653724,-0.846625,-1.412784,-0.000527,-0.882388,2.653855
19.014,2.690675,-0.878161,-1.347087,-0.000513,-0.916548,2.690783
19.1485,2.708288,-0.923354,-1.252942,-0.000495,-0.965501,2.708366
19.2917,2.724487,-0.971446,-1.152741,-0.000479,-1.01761,2.724535
19.4355,2.69765,-1.019746,-1.052072,-0.000464,-1.069979,2.69767
19.5193,2.665112,-1.047873,-0.993424,-0.000457,-1.1005,2.665116
19.6143,2.633386,-1.079785,-0.92686,-0.000449,-1.135152,2.633372
19.7137,2.604989,-1.113105,-0.857322,-0.000442,-1.171369,2.604957
19.8365,2.575318,-1.15426,-0.77138,-0.000434,-1.216157,2.575265
19.9757,2.547611,-1.200888,-0.673919,-0.000426,-1.266989,2.547534
20.142,2.521331,-1.256508,-0.55752,-0.00042,-1.327768,2.521229
20.3725,2.49495,-1.333483,-0.396125,-0.000412,-1.412189,2.494812
20.9002,2.46989,-1.5088,-0.026769,-0.000408,-1.606227,2.469672
21.1927,2.674654,-1.45163,-0.14753,-0.000407,-1.542636,2.674462
21.5071,2.703453,-1.347078,-0.367577,-0.000412,-1.427142,2.703309
21.6839,2.73282,-1.288093,-0.491342,-0.000416,-1.362362,2.732703
21.8152,2.762608,-1.244235,-0.583218,-0.000421,-1.314343,2.762511
21.8952,2.792306,-1.247246,-0.576915,-0.000421,-1.317635,2.792208
21.9752,2.807249,-1.270764,-0.527658,-0.000418,-1.343375,2.807139
