time_s,fz_N,velocity_mps,state,surface
0.0,-11.9391,0.0,CONTACT,CT
0.05,-12.208,0.1948,CONTACT,CT
0.1,-11.8261,0.2043,CONTACT,CT
0.15,-11.7508,0.2062,CONTACT,CT
0.2,-12.2776,0.1931,CONTACT,CT
0.25,-12.0795,0.198,CONTACT,CT
0.3,-11.7005,0.2075,CONTACT,CT
0.35,-11.6669,0.2083,CONTACT,CT
0.4,-11.4491,0.2138,CONTACT,CT
0.45,-11.4006,0.0,CONTACT,CT
0.5,-11.0541,0.2236,CONTACT,CT
0.55,-11.0495,0.2238,CONTACT,CT
0.6,-11.1594,0.221,CONTACT,CT
0.65,-10.9054,0.2274,CONTACT,CT
0.7,-10.9851,0.2254,CONTACT,CT
0.75,-11.186,0.2203,CONTACT,CT
0.8,-10.8574,0.2286,CONTACT,CT
0.85,-11.0143,0.2246,CONTACT,CT
0.9,-10.4988,0.0,CONTACT,CT
0.95,-10.6845,0.2329,CONTACT,CT
1.0,-10.7034,0.2324,CONTACT,CT
1.05,-10.7889,0.2303,CONTACT,CT
1.1,-10.3874,0.2403,CONTACT,CT
1.15,-10.6364,0.2341,CONTACT,CT
1.2,-10.6556,0.2336,CONTACT,CT
1.25,-10.5906,0.2352,CONTACT,CT
1.3,-10.3405,0.0,CONTACT,CT
1.35,-10.3739,0.2407,CONTACT,CT
1.4,-10.3568,0.2411,CONTACT,CT
1.45,-10.3428,0.2414,CONTACT,CT
1.5,-9.987,0.2497,CONTACT,CT
1.55,-10.4827,0.2379,CONTACT,CT
1.6,-10.4833,0.2379,CONTACT,CT
1.65,-10.5127,0.2372,CONTACT,CT
1.7,-10.1768,0.0,CONTACT,CT
1.75,-10.0742,0.2481,CONTACT,CT
1.8,-10.3209,0.242,CONTACT,CT
1.85,-10.4631,0.2384,CONTACT,CT
1.9,-10.4553,0.2386,CONTACT,CT
1.95,-10.1538,0.2462,CONTACT,CT
2.0,-10.1279,0.2468,CONTACT,CT
2.05,-10.1599,0.246,CONTACT,CT
2.1,-10.3927,0.2402,CONTACT,CT
2.15,-10.2022,0.2449,CONTACT,CT
2.2,-10.2127,0.2447,CONTACT,CT
2.25,-10.1781,0.0,CONTACT,CT
2.3,-10.0475,0.0,CONTACT,CT
2.35,-10.1771,0.0,CONTACT,CT
2.4,-10.086,0.0,CONTACT,CT
2.45,-10.2083,0.0,CONTACT,CT
2.5,-10.164,0.0,CONTACT,CT
2.55,-10.0955,0.0,CONTACT,CT
2.6,-10.5132,0.0,CONTACT,CT
2.65,-10.2857,0.0,CONTACT,CT
2.7,-10.3159,0.0,CONTACT,CT
2.75,-10.3496,0.0,CONTACT,CT
2.8,-10.2768,0.0,CONTACT,CT
2.85,-9.9228,0.2481,CONTACT,CT
2.9,-10.3916,0.2402,CONTACT,CT
2.95,-10.0213,0.2495,CONTACT,CT
3.0,-10.5479,0.2363,CONTACT,CT
3.05,-10.2744,0.2431,CONTACT,CT
3.1,-10.1706,0.2457,CONTACT,CT
3.15,-10.0815,0.248,CONTACT,CT
3.2,-10.0519,0.2487,CONTACT,CT
3.25,-10.0308,0.2492,CONTACT,CT
3.3,-10.2546,0.2436,CONTACT,CT
3.35,-10.2725,0.2432,CONTACT,CT
3.4,-10.0034,0.2499,CONTACT,CT
3.45,-10.2081,0.2448,CONTACT,CT
3.5,-10.4197,0.2395,CONTACT,CT
3.55,-10.3857,0.2404,CONTACT,CT
3.6,-10.337,0.2416,CONTACT,CT
3.65,-10.0473,0.2488,CONTACT,CT
3.7,-10.1116,0.2472,CONTACT,CT
3.75,-9.9954,0.2499,CONTACT,CT
3.8,-10.2122,0.2447,CONTACT,CT
3.85,-10.0882,0.2478,CONTACT,CT
3.9,-9.9878,0.2497,CONTACT,CT
3.95,-10.1677,0.2458,CONTACT,CT
4.0,-10.0073,0.2498,CONTACT,CT
4.05,-10.2238,0.2444,CONTACT,CT
4.1,-10.1566,0.2461,CONTACT,CT
4.15,-10.1527,0.2462,CONTACT,CT
4.2,-10.3076,0.2423,CONTACT,CT
4.25,-9.9629,0.2491,CONTACT,CT
4.3,-10.1458,0.2464,CONTACT,CT
4.35,-10.041,0.249,CONTACT,CT
4.4,-9.9387,0.2485,CONTACT,CT
4.45,-9.937,0.2484,CONTACT,CT
4.5,-9.8848,0.2471,CONTACT,CT
4.55,-10.0294,0.2493,CONTACT,CT
4.6,-10.0861,0.2478,CONTACT,CT
4.65,-10.009,0.2498,CONTACT,CT
4.7,-10.322,0.2419,CONTACT,CT
4.75,-10.2652,0.2434,CONTACT,CT
4.8,-10.2309,0.2442,CONTACT,CT
