time_s,fz_N,velocity_mps,state,surface
0.0,-6.7391,0.0,CONTACT,MIR
0.05,-7.008,0.0,CONTACT,MIR
0.1,-6.6499,0.0,CONTACT,MIR
0.15,-6.6119,0.0,CONTACT,MIR
0.2,-7.1902,0.0,CONTACT,MIR
0.25,-7.0604,0.0,CONTACT,MIR
0.3,-6.7744,0.0,CONTACT,MIR
0.35,-6.8632,0.0,CONTACT,MIR
0.4,-6.8034,0.0,CONTACT,MIR
0.45,-6.9706,0.0,CONTACT,MIR
0.5,-6.6241,0.0,CONTACT,MIR
0.55,-6.6444,0.0,CONTACT,MIR
0.6,-6.7868,0.0,CONTACT,MIR
0.65,-6.5746,0.1808,CONTACT,MIR
0.7,-6.2545,0.0,CONTACT,MIR
0.75,-6.5198,0.0,CONTACT,MIR
0.8,-6.2742,0.0,CONTACT,MIR
0.85,-6.5397,0.0,CONTACT,MIR
0.9,-6.1723,0.0,CONTACT,MIR
0.95,-6.3579,0.0,CONTACT,MIR
1.0,-6.3849,0.0,CONTACT,MIR
1.05,-6.4841,0.0,CONTACT,MIR
1.1,-6.1034,0.0,CONTACT,MIR
1.15,-6.3789,0.0,CONTACT,MIR
1.2,-6.4336,0.0,CONTACT,MIR
1.25,-6.4184,0.1861,CONTACT,MIR
1.3,-6.0686,0.0,CONTACT,MIR
1.35,-6.102,0.0,CONTACT,MIR
1.4,-6.0925,0.0,CONTACT,MIR
1.45,-6.0889,0.0,CONTACT,MIR
1.5,-5.7468,0.0,CONTACT,MIR
1.55,-6.2564,0.0,CONTACT,MIR
1.6,-6.2775,0.0,CONTACT,MIR
1.65,-6.3378,0.0,CONTACT,MIR
1.7,-6.0519,0.0,CONTACT,MIR
1.75,-5.9493,0.0,CONTACT,MIR
1.8,-6.1979,0.1934,CONTACT,MIR
1.85,-6.2963,0.0,CONTACT,MIR
1.9,-6.2932,0.0,CONTACT,MIR
1.95,-5.9982,0.0,CONTACT,MIR
2.0,-5.9796,0.0,CONTACT,MIR
2.05,-6.0197,0.0,CONTACT,MIR
2.1,-6.2614,0.0,CONTACT,MIR
2.15,-6.0819,0.0,CONTACT,MIR
2.2,-6.105,0.0,CONTACT,MIR
2.25,-6.0846,0.0,CONTACT,MIR
2.3,-5.954,0.1985,CONTACT,MIR
2.35,-6.0406,0.0,CONTACT,MIR
2.4,-5.9496,0.0,CONTACT,MIR
2.45,-6.0718,0.0,CONTACT,MIR
2.5,-6.0275,0.0,CONTACT,MIR
2.55,-5.9591,0.0,CONTACT,MIR
2.6,-6.3768,0.0,CONTACT,MIR
2.65,-6.1493,0.0,CONTACT,MIR
2.7,-6.1794,0.0,CONTACT,MIR
2.75,-6.2131,0.1929,CONTACT,MIR
2.8,-6.1017,0.0,CONTACT,MIR
2.85,-5.7477,0.0,CONTACT,MIR
2.9,-6.2198,0.0,CONTACT,MIR
2.95,-5.853,0.0,CONTACT,MIR
3.0,-6.3832,0.0,CONTACT,MIR
3.05,-6.1136,0.0,CONTACT,MIR
3.1,-6.0141,0.0,CONTACT,MIR
3.15,-5.9294,0.0,CONTACT,MIR
3.2,-5.9044,0.1968,CONTACT,MIR
3.25,-5.8773,0.0,CONTACT,MIR
3.3,-6.1057,0.0,CONTACT,MIR
3.35,-6.1284,0.0,CONTACT,MIR
3.4,-5.8644,0.0,CONTACT,MIR
3.45,-6.0742,0.0,CONTACT,MIR
3.5,-6.2911,0.0,CONTACT,MIR
3.55,-6.2626,0.0,CONTACT,MIR
3.6,-6.2199,0.0,CONTACT,MIR
3.65,-5.9365,0.1979,CONTACT,MIR
